word,frequency
红楼梦,9
曹雪芹,5
鄂著,1
第一回,1
甄士隐,10
梦幻,2
识通灵,1
贾雨村,21
风尘,3
闺秀,3
列位,4
看官,2
此书,2
从何而来,4
说起,70
根由,2
虽近,1
荒唐,7
深有,2
趣味,7
来历,17
注明,4
方使,1
阅者,2
了然,3
不惑,2
原来,256
女娲,3
炼石补天,2
之时,32
荒山,5
无稽,4
炼成,1
高经,1
十二,21
丈方经,1
二十四丈,1
顽石,4
三万,3
六千五百,2
一块,68
皇氏,1
只用,17
单单,4
未用,2
此山,2
青埂峰,12
谁知,202
此石,3
自经,1
煅炼,1
之后,63
灵性,3
已通,1
因见,63
石俱得,1
补天独,1
无材,2
不堪,25
入选,1
自怨,5
自叹,10
日夜,31
悲号,1
惭愧,8
一日,214
正当,6
嗟悼,1
之际,17
俄见,2
一僧,5
一道,16
远远,38
而来,6
生得,28
骨格,1
不凡,5
丰神,1
迥别,1
说说笑笑,13
至峰,1
坐于,1
石边,2
高谈,1
快论,1
先是,22
说些,48
云山,1
雾海,1
神仙,33
玄幻,1
事后,1
红尘,11
荣华富贵,5
不觉,157
打动,3
凡心,4
想要,17
人间,8
享一享,1
自恨,1
粗蠢,1
不得已,13
口吐,1
人言向,1
那僧道,8
说道,984
大师,1
弟子,11
蠢物,17
不能,416
见礼,3
适闻,3
二位,32
人世间,1
荣耀,6
繁华,8
心切,1
慕之,1
粗蠢性,1
通况,1
见二师,1
形道,1
体定,1
非凡,2
品必,1
补天,3
济世,3
之材,1
利物,2
济人,1
之德,4
如蒙发,1
一点,94
慈心,4
携带,5
得入,1
富贵,49
场中,5
温柔乡,1
受享,1
几年,87
自当永佩,1
洪恩,1
万劫,1
仙师,5
毕齐,1
憨笑,1
善哉,5
中有,11
乐事,1
永远,4
依恃,1
美中不足,2
好事多磨,2
八个,18
字紧,1
相连,5
瞬息间,1
乐极悲生,2
非物换,1
究竟,62
到头,4
一梦,6
万境,1
归空,1
倒不如,17
不去,25
这石,1
已炽,1
那里,868
听得进,2
这话,324
乃复,1
苦求,3
四二,1
仙知,1
不可,122
强制,1
乃叹,2
静极思动,1
无中生有,1
之数,3
如此,375
便携,5
享受,1
只是,547
得意,27
切莫,1
后悔,31
自然,311
那僧,5
性灵,3
质蠢,1
无奇,1
贵之处,1
只好,86
踮脚,1
而已,51
也罢,141
如今,1007
大施,1
佛法,4
助待,1
劫终,1
日复,1
本质,2
此案,6
好否,1
石头,19
感谢,9
不尽,45
念咒,1
书符,1
大展,2
幻术,1
大石,1
登时,32
变成,5
鲜明,4
莹洁,1
美玉,6
缩成,1
扇坠,4
大小,46
可佩,1
僧托于,1
掌上,5
形体,2
宝物,1
实在,92
好处,54
数字,1
使人,14
一见,85
知是,35
奇物,2
方妙,8
然后,145
昌明,2
隆盛,1
之邦,1
诗礼,2
簪缨,5
之族,5
花柳,8
温柔,17
乡去,1
安身乐业,1
禁乃问,1
不知,703
几件,26
奇处,1
到何,1
地方,105
明示,3
那僧笑,7
且莫,1
日后,32
明白,218
石同,1
那道人,12
飘然,6
投奔,5
何方,9
何舍,1
后来,139
几世,2
几劫,2
因有,12
空空,12
道人,42
访道,1
求仙,1
这大,6
经过,23
忽见,122
一大,26
块石,1
字迹,17
分明,25
编述,1
历历,3
从头,12
一看,83
就是,603
幻形,1
入世,4
茫茫,6
大士,5
渺渺,3
真人,7
携入,1
历尽,2
离合悲欢,2
炎凉世态,1
一段,25
故事,31
后面,58
一首,47
云无材,1
苍天,1
枉入,1
若许,2
此系,9
身前,1
身后事,1
记去,1
作奇,1
传诗后,1
便是,182
坠落,1
投胎,2
亲自,79
经历,9
陈迹,1
其中,30
家庭,6
闺阁,20
琐事,1
以及,26
闲情,4
诗词,17
全备,2
适趣,2
解闷,19
朝代,4
年纪,127
邦国,1
失落,6
无考,4
石兄,3
编写,1
意欲,29
问世,2
传奇,5
看来,44
第一件,9
第二件,16
